Model,Paliwo,Typ nadwozia,Przebieg,Kolor,Poj. silnika,Skrzynia biegów,Kraj pochodzenia,Moc silnika,Napęd,Kierownica,Cena,Województwo,Rodzaj ogłoszenia,Producent,Czy cena do negocjacji,Roczny przebieg,Wiek
Seria 3,Benzyna,Sedan,91300,Niebieski,1997.0,Automatyczna,Stany Zjednoczone,245.0,Na tylne koła,po lewej,74900.0,Mazowieckie,Prywatne,BMW,True,8821.25603864742,10
E Klasa,Diesel,Sedan,270000,Srebrny,2200.0,Manualna,Brak danych,136.0,Brak danych,po lewej,18000.0,Lubuskie,Prywatne,Mercedes-Benz,True,13267.813267813328,20
Aygo,Benzyna,Hatchback,127000,Biały,1000.0,Manualna,Polska,75.0,Na przednie koła,Brak danych,31500.0,Śląskie,Firmowe,Toyota,True,29195.402298851186,4
Seria 3,Diesel,Kombi,190000,Biały,1995.0,Automatyczna,Niemcy,85.0,Na tylne koła,Brak danych,40500.0,Lubelskie,Prywatne,BMW,True,16740.088105727005,11
Grande Punto,LPG,Hatchback,128997,Srebrny,1242.0,Manualna,Brak danych,70.0,Na przednie koła,po lewej,25000.0,Podkarpackie,Prywatne,Fiat,True,11365.374449339299,11
A3,Diesel,Hatchback,255413,Czarny,1968.0,Manualna,Niemcy,125.0,Na przednie koła,po lewej,16500.0,Kujawsko-pomorskie,Prywatne,Audi,True,13918.964577656745,18
Focus,Benzyna,Kombi,138000,Czarny,1000.0,Manualna,Niemcy,125.0,Na przednie koła,po lewej,28900.0,Wielkopolskie,Prywatne,Ford,False,12158.590308370141,11
HR-V,Benzyna,SUV,21847,Biały,1799.0,Automatyczna,Stany Zjednoczone,140.0,4x4 (dołączany automatycznie),po lewej,80000.0,Podkarpackie,Prywatne,Honda,False,5022.298850574818,4
B Klasa,Benzyna,Minivan,173000,Czarny,2034.0,Automatyczna,Polska,193.0,Na przednie koła,po lewej,23500.0,Podlaskie,Prywatne,Mercedes-Benz,True,9971.181556196017,17
Golf,Diesel,Hatchback,216400,Czarny,1900.0,Manualna,Niemcy,105.0,Na przednie koła,po lewej,7800.0,Łódzkie,Prywatne,Volkswagen,True,10633.906633906681,20
i30,Benzyna,Hatchback,134000,Inny kolor,1395.0,Manualna,Niemcy,100.0,Na przednie koła,po lewej,33900.0,Podlaskie,Prywatne,Hyundai,False,10037.453183520667,13
Insignia,Benzyna,Sedan,137143,Inny kolor,2792.0,Manualna,Niemcy,260.0,4x4 (stały),po lewej,10000.0,Wielkopolskie,Prywatne,Opel,False,7904.495677233471,17
S Klasa,Benzyna,Sedan,419000,Szary,4973.0,Automatyczna,Niemcy,326.0,Na tylne koła,po lewej,39900.0,Pomorskie,Prywatne,Mercedes-Benz,False,12563.71814092957,33
Corolla Cross,Benzyna,SUV,39387,Biały,1987.0,Automatyczna,Polska,152.0,Na tylne koła,po lewej,149500.0,Zachodniopomorskie,Prywatne,Toyota,True,11757.31343283614,3
Megane,Benzyna,Coupe,188402,Żółty – Złoty,2000.0,Manualna,Francja,250.0,Na przednie koła,po lewej,59500.0,Dolnośląskie,Prywatne,Renault,True,12273.745928338834,15
C3,Benzyna,Hatchback,152675,Czerwony,1100.0,Manualna,Polska,44.0,Brak danych,po lewej,5800.0,Śląskie,Prywatne,Citroen,True,9337.920489296688,16
Passat,Benzyna,Sedan,210000,Srebrny,2000.0,Manualna,Polska,150.0,Na przednie koła,po lewej,14999.0,Śląskie,Prywatne,Volkswagen,True,11444.141689373353,18
Golf,Benzyna,Hatchback,105000,Niebieski,2000.0,Manualna,Stany Zjednoczone,340.0,Na przednie koła,po lewej,57900.0,Podlaskie,Prywatne,Volkswagen,True,10144.927536231973,10
Touareg,Diesel,Terenowy,250000,Czarny,2500.0,Automatyczna,Dania,174.0,4x4 (dołączany ręcznie),po lewej,21000.0,Pomorskie,Firmowe,Volkswagen,True,12285.01228501234,20
508,Diesel,Kombi,245000,Inny kolor,1560.0,Automatyczna,Brak danych,110.0,Na przednie koła,po lewej,15500.0,Dolnośląskie,Firmowe,Peugeot,True,17073.170731707425,14
Frontera,Diesel,Terenowy,161000,Czarny,2171.0,Manualna,Polska,115.0,4x4 (dołączany automatycznie),po lewej,14000.0,Podkarpackie,Prywatne,Opel,False,6110.056925996226,26
Touran,Diesel,Minibus,230000,Inny kolor,1600.0,Manualna,Niemcy,105.0,Na przednie koła,po lewej,28500.0,Opolskie,Prywatne,Volkswagen,True,17228.46441947577,13
Seria 3,Benzyna,Kombi,275000,Czarny,1995.0,Manualna,Brak danych,150.0,Na tylne koła,po lewej,10900.0,Dolnośląskie,Prywatne,BMW,True,13513.513513513573,20
6,Diesel,Kombi,300000,Biały,2200.0,Manualna,Inny,185.0,Na przednie koła,po lewej,21900.0,Kujawsko-pomorskie,Firmowe,Mazda,True,22471.910112359703,13
X6,Diesel,SUV,88300,Czarny,2993.0,Automatyczna,Polska,400.0,Brak danych,po lewej,349800.0,Mazowieckie,Prywatne,BMW,False,26358.208955224596,3
IS,Benzyna,Kombi,171000,Srebrny,3000.0,Automatyczna,Niemcy,214.0,Na tylne koła,po lewej,41500.0,Kujawsko-pomorskie,Prywatne,Lexus,True,8402.948402948441,20
A4,LPG,Kombi,389000,Niebieski,2771.0,Manualna,Brak danych,193.0,4x4 (stały),po lewej,11900.0,Śląskie,Prywatne,Audi,True,14762.80834914616,26
9-3,Benzyna,Sedan,264309,Inny kolor,1998.0,Manualna,Szwecja,210.0,Na przednie koła,po lewej,14500.0,Podkarpackie,Prywatne,Saab,True,12988.157248157306,20
Pozostałe Dodge,Benzyna,Coupe,183670,Inny kolor,5700.0,Automatyczna,Stany Zjednoczone,386.0,Na tylne koła,po lewej,79900.0,Kujawsko-pomorskie,Prywatne,Dodge,True,19643.85026737987,9
Seria 3,Benzyna,Sedan,224600,Czarny,2000.0,Manualna,Niemcy,145.0,Na tylne koła,po lewej,14000.0,Łódzkie,Prywatne,BMW,True,12945.244956772402,17
Vivaro,Diesel,Minibus,165000,Brązowy – Beżowy,1600.0,Manualna,Polska,145.0,Brak danych,Brak danych,120000.0,Podkarpackie,Prywatne,Opel,False,22448.97959183701,7
B Klasa,Diesel,Hatchback,166500,Niebieski,1800.0,Manualna,Niemcy,109.0,Brak danych,po lewej,32500.0,Dolnośląskie,Prywatne,Mercedes-Benz,True,12471.910112359636,13
